legid,act_Accompanying,act_Browsing,act_Cycling,act_Driving,act_Eating,act_Listening,act_Other,act_PersonalCare,act_ReadingDevice,act_ReadingPaper,act_Relaxing,act_Talking,act_Thinking,act_Walking,act_Watching,activity_count
#22:10008,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,2
#22:10010,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1
#22:10014,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1
#22:10017,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1
#22:10035,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,2
#22:10043,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,3
#22:10045,True,False,False,True,True,True,False,False,False,False,False,True,True,False,False,6
#22:10050,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,4
#22:10052,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,2
#22:10066,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,2
#22:10067,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1
#22:10069,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,3
#22:10073,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,2
#22:10075,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,2
#22:10079,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,1
#22:10084,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1
#22:10085,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,2
#22:10087,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
#22:10105,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1
#22:10110,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1
#22:10115,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1
#22:10117,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
#22:10120,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1
#22:10124,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,2
#22:10125,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1
#22:10127,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,2
#22:10130,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,4
#22:10134,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,2
#22:10139,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,2
#22:10144,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,2
#22:10147,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,2
#22:10150,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,2
#22:10152,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,2
#22:10183,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,2
#22:10190,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,2
#22:10195,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
#22:10196,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
#22:10200,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
#22:10202,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
#22:10206,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1
#22:10207,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1
#22:10209,True,False,False,False,False,False,False,False,False,False,False,True,True,True,False,4
#22:10213,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1
#22:10215,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1
#22:10217,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,2
#22:10223,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1
#22:10234,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,1
#22:10237,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
#22:10238,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
#22:10241,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,3
#22:10245,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1
#22:10246,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,2
#22:10254,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,2
#22:10258,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,2
#22:10261,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,2
#22:10263,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,3
#22:10267,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1
#22:10269,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,1
#22:10270,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,2
#22:10278,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,1
#22:10282,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1
#22:10287,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,2
#22:10292,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,2
#22:10298,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
#22:10307,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,2
#22:10310,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,3
#22:10311,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,2
#22:10316,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
#22:10317,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,1
#22:10318,False,True,False,False,False,True,False,False,True,True,False,False,False,False,False,4
#22:10320,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,1
#22:10326,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,1
#22:10329,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
#22:10331,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1
#22:10333,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1
#22:10340,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,2
#22:10343,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,2
#22:10345,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
#22:10349,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1
#22:10357,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
#22:10367,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,2
#22:10368,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1
#22:10377,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
#22:10379,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,2
#22:10388,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1
#22:10390,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,2
#22:10391,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
#22:10392,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,1
#22:10397,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,1
#22:10405,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1
#22:10407,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,2
#22:10416,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1
#22:10419,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,2
#22:10422,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1
#22:10423,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1
#22:10432,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,3
#22:10436,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1
#22:10437,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,1
#22:10438,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1
#22:10453,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,2
#22:10462,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,3
#22:10465,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,2
#22:10477,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,2
#22:10489,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,1
#22:10496,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,2
#22:10501,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1
#22:10508,False,True,False,False,False,False,False,False,True,False,True,False,True,False,False,4
#22:10510,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1
#22:10514,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,2
#22:10523,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,2
#22:10525,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1
#22:10526,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1
#22:10533,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1
#22:10534,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,1
#22:10537,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,2
#22:10548,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,2
#22:10553,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,2
#22:10555,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
#22:10557,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,2
#22:10559,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1
