legid,ACT,CP,GT,WYR
#222:33266,0,0,-1,0
#222:33268,0,0,1,0
#222:33271,1,0,0,0
#222:33272,1,0,0,0
#222:33273,1,0,0,0
#222:33281,0,0,0,0
#222:33298,1,11,8,0
#222:33299,1,9,12,0
#222:33314,0,0,0,0
#222:33333,0,9,6,0
#222:33334,0,2,0,0
#222:33338,1,-2,0,0
#222:33343,1,6,5,0
#222:33349,0,-5,3,0
#222:33368,0,2,4,0
#222:33370,0,4,5,0
#222:33439,-1,-1,3,0
#222:33440,-1,-5,1,0
#222:33449,0,2,1,0
#222:33451,1,0,0,0
#222:33462,0,0,1,0
#222:33470,0,1,0,0
#222:33478,1,1,7,0
#222:33479,0,-3,0,0
#222:33483,0,5,7,0
#222:33497,0,2,0,0
#222:33499,0,0,2,0
#222:33501,0,5,0,0
#222:33530,0,0,-1,0
#222:33542,0,2,1,0
#222:33550,0,0,0,0
#222:33574,1,7,8,0
#222:33590,0,3,0,0
#222:33591,0,2,0,0
#222:33606,0,0,0,0
#222:33621,0,1,0,0
#222:33622,0,0,2,2
#222:33623,1,0,0,0
#222:33624,1,0,0,0
#222:33625,1,-1,8,0
#222:33628,0,-1,0,0
#222:33630,1,7,7,0
#222:33650,1,1,0,0
#222:33651,0,0,2,0
#222:33659,0,0,0,0
#222:33661,0,2,-1,0
#222:33664,0,1,0,0
#222:33667,0,1,0,0
#222:33673,0,0,0,1
#222:33694,0,0,0,0
#222:33697,0,1,0,0
#222:33711,0,-2,-2,0
#222:33714,1,0,0,0
#222:33716,1,1,2,0
#222:33717,1,0,0,0
#222:33720,0,0,0,0
#222:33746,0,0,0,-1
#222:33760,-1,4,1,0
#222:33761,-1,2,3,0
#222:33768,-1,6,5,0
#222:33770,0,3,2,0
#222:33793,0,1,4,0
#222:33794,0,1,1,0
#222:33798,0,3,3,0
#222:33801,0,-1,1,0
#222:33805,1,6,2,0
#222:33806,0,-1,0,0
#222:33815,0,2,1,0
#222:33853,0,-2,-1,0
#222:33857,0,0,-1,0
#222:33860,0,0,0,0
#222:33861,0,0,-1,0
#222:33865,1,0,4,0
#222:33866,0,-2,0,0
#222:33868,0,2,2,0
#222:33887,0,0,-2,0
#222:33893,0,6,6,0
#222:33934,0,4,2,0
#222:33935,0,2,0,0
#222:33937,0,1,0,0
#222:33947,0,0,1,0
#222:33948,0,0,1,0
#222:33949,0,0,1,0
