legid,reconstructed_duration
#24:3498,734
#25:3400,311
#25:3460,198
#24:3479,365
#23:5342,138
#23:8271,1235
#23:7243,958
#24:7213,365
#25:7189,1414
#22:7263,496
#24:8241,611
#23:8276,3515
#23:8365,1034
#23:8444,664
#22:8486,1369
#28:2213,111
#23:8466,1518
#22:8516,14104
#25:8776,1432
#24:8802,685
#24:9729,1323
#25:9702,275
#23:10241,827
#23:10314,547
#24:11195,1275
#25:11167,182
#22:11250,181
#23:11230,3683
#24:10337,774
#25:10310,6254
#24:10996,644
#25:11165,9250
#24:11193,924
#22:3739,726
#24:3713,589
#24:3740,639
#24:3762,182
#22:3809,194
#25:3842,635
#22:3909,1631
#28:1036,334
#24:3864,1723
#29:1014,342
#22:3911,907
#23:3893,5468
#26:1077,237
#25:3846,285
#27:1059,371
#28:1037,1199
#24:3870,726
#25:3850,499
#29:1015,302
#22:3917,5666
#23:4072,1738
#24:4044,1419
#27:1103,704
#25:4024,1314
#22:4091,136
#23:4073,635
#24:4045,1316
#23:4562,554
#24:4534,317
#28:1203,2650
#25:4513,737
#24:4535,227
#25:4514,1403
#29:1180,235
#22:4582,3640
#26:1390,236
#23:5132,1289
#27:1371,5605
#24:5104,9286
#28:1349,235
#24:5105,136
#29:1326,394
#25:5083,408
#25:4515,770
#22:5152,725
#24:5106,3978
#25:5500,291
#22:5569,611
#24:5666,380
#25:5644,407
#23:5695,363
#24:5667,657
#24:5668,635
#25:5646,1043
#22:5715,305
#27:1526,308
#23:5697,726
#22:5717,589
#26:1547,1058
#23:5699,862
#24:5671,1632
#23:5700,1069
#25:5653,1043
#25:5654,323
#25:7051,742
#22:7125,1993
#24:7076,2587
#25:7052,2711
#24:7077,952
#22:7127,589
#22:5724,551
#29:1482,873
#23:5706,544
#26:1549,235
#24:5678,272
#23:5707,5692
#22:7593,1160
#26:2009,249
#24:7543,3356
#22:7594,735
#23:7574,816
#24:7544,1043
#22:7595,1177
#27:1985,254
#23:7575,136
#24:7545,732
#25:7521,453
#22:7596,1384
#28:1961,240
#23:7576,1179
#29:1935,1616
#24:7546,769
#25:7522,2132
#24:7547,817
#25:7523,1222
#22:7598,1360
#27:1986,710
#24:7548,576
#28:1962,1596
#22:7599,499
#29:1936,745
#23:7579,994
#24:7549,380
#25:5084,408
#25:7531,930
#22:7606,944
#24:7556,692
#25:5652,5318
#25:5583,4092
#24:5597,1042
#24:5602,709
#22:7607,618
#24:7557,227
#29:1938,1089
#25:7533,588
#22:7609,719
#22:7610,236
#24:7560,183
#27:1989,381
#22:7611,391
#24:7561,1646
#23:7592,1161
#25:7539,575
#22:7614,1125
#25:7540,540
#26:2014,1351
#24:7565,876
#29:1940,130
#24:7566,587
#24:7567,408
#22:7618,726
#23:7598,3136
#24:7574,2479
#24:7584,670
#22:7635,317
#23:7615,761
#22:7652,2457
#23:7632,1089
#24:7602,546
#25:7578,680
#22:7638,2187
#27:1991,358
#24:7589,406
