tripid,purpose_count,purp_Business_Trip,purp_Everyday_Shopping,purp_Home,purp_Leisure_Hobby,purp_Other,purp_Personal_Tasks_Errands,purp_Pick_Up_Drop_Off,purp_Work
#130:14440,1,0,0,0,1,0,0,0,0
#130:14441,1,0,0,0,1,0,0,0,0
#130:14442,1,0,0,0,0,0,1,0,0
#130:14443,1,0,0,0,1,0,0,0,0
#130:14445,1,0,0,0,1,0,0,0,0
#130:14447,1,0,0,0,0,1,0,0,0
#130:14449,1,0,0,0,0,0,1,0,0
#130:14450,1,0,0,1,0,0,0,0,0
#130:14451,1,0,0,1,0,0,0,0,0
#130:14452,1,0,0,0,0,0,0,0,1
#130:14453,1,0,0,1,0,0,0,0,0
#130:14454,1,0,0,0,0,0,0,0,1
#130:14455,1,0,0,0,0,0,0,0,1
#130:14460,1,0,0,1,0,0,0,0,0
#130:14461,1,0,0,0,1,0,0,0,0
#130:14463,1,1,0,0,0,0,0,0,0
#130:14464,2,0,0,0,1,0,1,0,0
#130:14466,1,0,0,0,1,0,0,0,0
#130:14467,1,0,0,0,1,0,0,0,0
#130:14470,1,0,0,0,0,0,0,0,1
#130:14471,1,0,0,0,0,0,1,0,0
#130:14473,1,0,0,1,0,0,0,0,0
#130:14474,1,0,0,1,0,0,0,0,0
#130:14477,1,0,0,0,0,0,0,0,1
#130:14478,1,0,0,0,0,1,0,0,0
#130:14479,1,0,0,0,1,0,0,0,0
#130:14480,1,0,0,0,1,0,0,0,0
#130:14481,1,0,0,0,1,0,0,0,0
#130:14482,1,0,0,1,0,0,0,0,0
#130:14485,1,0,0,0,1,0,0,0,0
#130:14486,2,0,0,1,0,1,0,0,0
#130:14487,1,0,0,0,1,0,0,0,0
#130:14501,1,0,0,0,0,0,0,0,1
#130:14505,2,0,0,0,0,1,0,0,1
#130:14506,1,0,0,0,0,0,0,0,1
#130:14507,1,0,0,0,0,0,0,0,1
#130:14508,2,0,0,0,1,0,0,1,0
#130:14510,1,0,0,0,1,0,0,0,0
#130:14515,1,0,0,0,1,0,0,0,0
#130:14516,1,0,0,0,0,0,0,0,1
#130:14517,1,0,0,1,0,0,0,0,0
#130:14518,1,0,0,0,0,0,0,0,1
#130:14519,1,0,1,0,0,0,0,0,0
#130:14525,2,0,0,1,0,0,1,0,0
#130:14526,1,0,0,1,0,0,0,0,0
#130:14531,1,0,0,1,0,0,0,0,0
#130:14532,1,0,0,1,0,0,0,0,0
#130:14533,1,0,0,0,0,0,0,0,1
#130:14534,1,0,0,0,0,0,1,0,0
#130:14535,1,0,0,1,0,0,0,0,0
#130:14536,1,0,0,0,0,0,1,0,0
#130:14537,1,0,0,0,0,0,1,0,0
#130:14538,1,0,0,0,0,0,1,0,0
#130:14539,1,0,0,0,0,1,0,0,0
#130:14540,1,0,0,0,0,1,0,0,0
#130:14541,1,0,0,0,1,0,0,0,0
#130:14545,1,0,0,0,0,0,0,1,0
#130:14551,3,0,0,1,1,0,1,0,0
#130:14552,1,0,0,0,1,0,0,0,0
#130:14555,1,0,0,0,0,0,0,0,1
#130:14556,1,0,0,0,0,0,0,0,1
#130:14557,1,0,0,0,0,0,0,0,1
#130:14558,1,0,0,0,0,0,0,0,1
#130:14559,1,0,0,0,0,0,1,0,0
#130:14562,1,0,0,0,1,0,0,0,0
#130:14563,2,0,1,1,0,0,0,0,0
#130:14567,1,0,0,0,0,0,0,0,1
#130:14573,1,0,0,0,0,0,0,1,0
#130:14574,1,0,0,0,0,0,0,0,1
#130:14581,2,0,0,0,1,1,0,0,0
#130:14582,1,0,0,0,1,0,0,0,0
#130:14585,1,0,0,0,1,0,0,0,0
#130:14588,1,0,0,0,0,0,0,0,1
#130:14589,1,0,1,0,0,0,0,0,0
#130:14590,1,0,0,1,0,0,0,0,0
#130:14591,1,0,0,1,0,0,0,0,0
#130:14592,1,0,0,0,0,0,0,0,1
#130:14593,1,0,0,0,0,1,0,0,0
#130:14594,1,0,0,0,0,0,0,0,1
#130:14595,1,0,0,0,0,0,0,0,1
#130:14596,1,0,0,0,0,0,1,0,0
#130:14597,1,0,0,0,0,0,1,0,0
#130:14598,2,0,0,0,1,0,1,0,0
#130:14600,1,0,0,1,0,0,0,0,0
#130:14603,1,0,0,0,0,0,0,0,1
#130:14606,1,0,0,1,0,0,0,0,0
#130:14607,1,0,0,0,0,1,0,0,0
#130:14608,1,0,0,0,1,0,0,0,0
#130:14609,1,0,1,0,0,0,0,0,0
#130:14610,1,0,0,0,1,0,0,0,0
#130:14611,1,0,0,0,1,0,0,0,0
#130:14614,1,0,0,1,0,0,0,0,0
#130:14615,1,0,0,0,1,0,0,0,0
#130:14616,1,0,0,0,0,0,1,0,0
#130:14617,1,0,0,0,0,0,0,1,0
#130:14618,1,1,0,0,0,0,0,0,0
#130:14620,1,0,0,0,0,0,1,0,0
#130:14621,1,0,0,0,0,0,0,0,1
#130:14622,1,0,0,0,0,0,1,0,0
#130:14623,1,0,0,0,0,0,1,0,0
#130:14624,1,0,0,0,0,0,0,1,0
#130:14625,1,0,0,0,0,0,1,0,0
#130:14628,1,0,0,0,0,1,0,0,0
#130:14630,1,0,0,0,0,0,1,0,0
#130:14631,1,0,0,0,0,0,0,1,0
#130:14633,2,0,0,0,1,0,0,1,0
#130:14634,1,0,0,0,0,0,0,1,0
#130:14635,2,0,0,0,0,0,1,1,0
#130:14638,1,0,0,0,0,0,1,0,0
#130:14639,1,0,0,1,0,0,0,0,0
#130:14641,1,0,0,0,0,0,0,0,1
#130:14642,1,0,0,0,1,0,0,0,0
#130:14643,1,0,1,0,0,0,0,0,0
#130:14644,1,0,0,1,0,0,0,0,0
#130:14648,1,0,0,0,1,0,0,0,0
#130:14649,1,0,0,0,1,0,0,0,0
#130:14651,1,0,0,0,1,0,0,0,0
#130:14655,1,0,0,0,1,0,0,0,0
#130:14656,2,0,0,1,0,1,0,0,0
#130:14658,1,0,0,0,0,0,0,0,1
#130:14659,1,0,0,0,0,1,0,0,0
#130:14661,1,0,0,0,0,0,0,0,1
#130:14663,2,0,0,1,1,0,0,0,0
#130:14665,2,0,0,0,0,0,0,1,1
#130:14666,1,1,0,0,0,0,0,0,0
#130:14667,1,0,0,0,0,0,1,0,0
#130:14668,1,0,0,0,1,0,0,0,0
#130:14675,1,0,0,0,0,0,0,0,1
#130:14676,2,0,0,0,1,0,0,0,1
#130:14677,1,0,0,0,0,0,0,0,1
#130:14678,1,0,0,0,0,0,0,0,1
#130:14679,1,0,0,1,0,0,0,0,0
#130:14680,1,0,0,0,0,0,1,0,0
#130:14682,1,0,0,0,0,1,0,0,0
#130:14683,1,0,1,0,0,0,0,0,0
#130:14684,1,0,0,0,0,0,1,0,0
#130:14685,1,0,1,0,0,0,0,0,0
#130:14686,1,0,0,0,0,0,0,0,1
#130:14687,1,0,0,0,0,0,1,0,0
#130:14692,1,0,0,0,0,0,0,1,0
#130:14694,1,0,0,0,0,0,0,0,1
#130:14695,1,0,0,0,0,0,1,0,0
#130:14699,1,0,0,0,0,0,1,0,0
#130:14701,2,0,0,0,1,0,1,0,0
#130:14703,1,0,0,0,0,0,0,0,1
#130:14705,1,0,0,0,0,0,1,0,0
#130:14706,1,0,0,0,0,0,0,0,1
#130:14707,1,0,0,0,0,0,1,0,0
#130:14708,1,0,0,0,0,0,1,0,0
#130:14709,1,0,0,0,1,0,0,0,0
#130:14712,1,0,0,1,0,0,0,0,0
#130:14713,1,0,0,1,0,0,0,0,0
#130:14716,1,1,0,0,0,0,0,0,0
#130:14720,1,0,0,1,0,0,0,0,0
#130:14726,1,0,0,1,0,0,0,0,0
#130:14729,1,0,0,0,0,0,1,0,0
#130:14730,1,0,0,0,0,0,1,0,0
#130:14735,1,0,0,0,1,0,0,0,0
#130:14736,2,0,1,0,1,0,0,0,0
#130:14737,2,0,0,0,1,0,0,1,0
#130:14738,1,0,0,0,1,0,0,0,0
#130:14739,2,0,0,0,0,0,1,1,0
#130:14740,1,0,0,0,0,0,1,0,0
#130:14741,1,0,0,0,0,0,0,0,1
#130:14742,1,0,0,0,0,0,1,0,0
#130:14744,1,0,0,0,0,1,0,0,0
#130:14745,1,0,0,0,0,1,0,0,0
#130:14748,1,0,0,0,0,0,1,0,0
#130:14750,1,0,0,0,1,0,0,0,0
#130:14751,1,0,0,0,0,0,1,0,0
#130:14756,1,0,0,0,0,0,0,0,1
#130:14757,1,0,0,0,0,0,1,0,0
#130:14758,1,0,0,1,0,0,0,0,0
#130:14759,1,0,0,0,0,0,0,0,1
#130:14760,1,0,0,0,1,0,0,0,0
#130:14761,1,0,0,1,0,0,0,0,0
#130:14762,1,0,0,0,0,0,1,0,0
#130:14766,1,0,0,0,1,0,0,0,0
#130:14768,1,0,0,1,0,0,0,0,0
#130:14772,1,0,0,1,0,0,0,0,0
#130:14773,1,0,0,0,1,0,0,0,0
#130:14774,1,0,0,1,0,0,0,0,0
#130:14775,1,0,0,0,0,1,0,0,0
#130:14777,1,0,0,0,1,0,0,0,0
