tripid,mood_rating,did_you_have_to_arrive
#32:1461,-1.0,-1.0
#31:1587,-1.0,-1.0
#31:1449,-1.0,-1.0
#30:1498,-1.0,-1.0
#33:1435,-1.0,-1.0
#32:1547,-1.0,-1.0
#31:1583,-1.0,-1.0
#30:1609,-1.0,-1.0
#32:1571,-1.0,-1.0
#33:1596,-1.0,-1.0
#33:1568,-1.0,-1.0
#32:1595,-1.0,-1.0
#30:1722,-1.0,-1.0
#31:1704,-1.0,-1.0
#32:1675,-1.0,-1.0
#33:1849,-1.0,-1.0
#32:1647,-1.0,-1.0
#33:1641,-1.0,-1.0
#31:1769,-1.0,-1.0
#30:1915,-1.0,-1.0
#32:1738,-1.0,-1.0
#31:1897,-1.0,-1.0
#33:1722,-1.0,-1.0
#30:1788,-1.0,-1.0
#32:1866,-1.0,-1.0
#32:2078,-1.0,-1.0
#30:1796,-1.0,-1.0
#33:1730,-1.0,-1.0
#33:1850,-1.0,-1.0
#33:1715,-1.0,-1.0
#32:1746,-1.0,-1.0
#33:2061,-1.0,-1.0
#30:2128,-1.0,-1.0
#31:1770,-1.0,-1.0
#31:1777,-1.0,-1.0
#31:2282,-1.0,-1.0
#32:2250,-1.0,-1.0
#31:2349,-1.0,-1.0
#32:2317,-1.0,-1.0
#33:2299,-1.0,-1.0
#30:2368,-1.0,-1.0
#32:2318,-1.0,-1.0
#30:2369,-1.0,-1.0
#33:3231,5.0,1.0
#30:2371,-1.0,-1.0
#32:2321,-1.0,-1.0
#32:1913,-1.0,-1.0
#31:2934,-1.0,-1.0
#32:2900,-1.0,-1.0
#32:1940,-1.0,-1.0
#33:2879,-1.0,-1.0
#30:2955,-1.0,-1.0
#30:8368,5.0,0.0
#30:2372,-1.0,-1.0
#31:3133,-1.0,-1.0
#32:3099,-1.0,-1.0
#33:3077,-1.0,-1.0
#30:3154,-1.0,-1.0
#31:3134,-1.0,-1.0
#32:3100,-1.0,-1.0
#31:2110,-1.0,-1.0
#33:2106,-1.0,-1.0
#32:2125,-1.0,-1.0
#30:3155,-1.0,-1.0
#30:2174,-1.0,-1.0
#33:3079,-1.0,-1.0
#30:3156,-1.0,-1.0
#31:2156,-1.0,-1.0
#33:2147,-1.0,-1.0
#31:2170,-1.0,-1.0
#32:2138,-1.0,-1.0
#32:3102,-1.0,-1.0
#31:2189,-1.0,-1.0
#33:3353,-1.0,-1.0
#32:2157,-1.0,-1.0
#33:2241,-1.0,-1.0
#30:2309,-1.0,-1.0
#32:2320,-1.0,-1.0
#31:2291,-1.0,-1.0
#32:2288,-1.0,-1.0
#32:2259,-1.0,-1.0
#30:2345,-1.0,-1.0
#33:2242,-1.0,-1.0
#33:2271,-1.0,-1.0
#30:2337,-1.0,-1.0
#30:2340,-1.0,-1.0
#30:2367,-1.0,-1.0
#33:2276,-1.0,-1.0
#30:2338,-1.0,-1.0
#32:2303,-1.0,-1.0
#30:3157,-1.0,-1.0
#32:3103,-1.0,-1.0
#30:3158,-1.0,-1.0
#32:3104,-1.0,-1.0
#33:2932,-1.0,-1.0
#30:3159,-1.0,-1.0
#32:3105,-1.0,-1.0
#31:3140,-1.0,-1.0
#32:3107,-1.0,-1.0
#33:3085,-1.0,-1.0
#33:2536,5.0,1.0
#33:2535,4.0,1.0
#33:3086,-1.0,-1.0
#30:2637,3.0,1.0
#33:2567,4.0,1.0
#32:2590,5.0,1.0
#33:2615,5.0,1.0
#33:2830,5.0,0.0
#31:2760,4.0,0.0
#33:2616,2.0,1.0
#30:3169,-1.0,-1.0
#30:3164,-1.0,-1.0
#31:2777,-1.0,-1.0
#30:2797,-1.0,-1.0
#33:2722,-1.0,-1.0
#31:3148,-1.0,-1.0
#30:3306,-1.0,-1.0
#30:3168,-1.0,-1.0
#33:3229,-1.0,-1.0
#32:3251,-1.0,-1.0
#32:3113,-1.0,-1.0
#31:2883,4.0,0.0
#30:2945,-1.0,-1.0
#31:2932,3.0,1.0
#30:3036,-1.0,-1.0
#31:2925,-1.0,-1.0
#31:3147,-1.0,-1.0
#32:3382,4.0,1.0
#33:2874,-1.0,-1.0
#32:2895,-1.0,-1.0
#33:3088,-1.0,-1.0
#33:2960,-1.0,-1.0
#32:2981,-1.0,-1.0
#31:3021,4.0,1.0
#33:3089,-1.0,-1.0
#31:3290,4.0,1.0
#31:3149,-1.0,-1.0
#31:3083,-1.0,-1.0
#31:3146,-1.0,-1.0
#31:3082,4.0,0.0
#32:3052,-1.0,-1.0
#32:3058,3.0,1.0
#30:3391,-1.0,-1.0
#32:3073,-1.0,-1.0
#32:3485,4.0,1.0
#30:3861,-1.0,-1.0
#33:3051,-1.0,-1.0
#31:3125,-1.0,-1.0
#31:3123,5.0,1.0
#32:3080,-1.0,-1.0
#33:3093,-1.0,-1.0
#33:3065,-1.0,-1.0
#33:3235,5.0,1.0
#33:3090,-1.0,-1.0
#31:3152,-1.0,-1.0
#33:3070,-1.0,-1.0
#31:3160,-1.0,-1.0
#32:3117,-1.0,-1.0
#30:3171,-1.0,-1.0
#31:3162,3.0,0.0
#30:3172,-1.0,-1.0
#31:3172,-1.0,-1.0
#32:3120,-1.0,-1.0
#30:3180,-1.0,-1.0
#30:3182,-1.0,-1.0
#30:3196,-1.0,-1.0
#31:3173,-1.0,-1.0
#32:3270,-1.0,-1.0
#31:3238,-1.0,-1.0
#30:3279,2.0,0.0
#32:3271,-1.0,-1.0
#33:3143,-1.0,-1.0
#33:3123,-1.0,-1.0
#33:3115,4.0,1.0
#32:3162,-1.0,-1.0
#33:3182,-1.0,-1.0
#33:3124,-1.0,-1.0
#30:3220,-1.0,-1.0
#33:3266,-1.0,-1.0
#30:3259,-1.0,-1.0
#31:3203,5.0,0.0
#33:3205,-1.0,-1.0
#30:3362,-1.0,-1.0
#30:3252,5.0,0.0
#32:3183,-1.0,-1.0
#32:3195,-1.0,-1.0
#30:3261,-1.0,-1.0
#30:3250,-1.0,-1.0
#32:3259,5.0,0.0
#31:3227,3.0,0.0
#30:3243,-1.0,-1.0
#33:3181,5.0,0.0
#30:3247,-1.0,-1.0
#33:3174,-1.0,-1.0
#30:3249,-1.0,-1.0
#30:3270,-1.0,-1.0
#30:3258,-1.0,-1.0
#32:3205,-1.0,-1.0
#32:3224,-1.0,-1.0
#30:3271,-1.0,-1.0
#30:3282,-1.0,-1.0
#32:3336,-1.0,-1.0
