legid,temperature_category,weather_group
#23:18199,cool,Clouds
#25:18177,cool,Clouds
#22:18731,cool,Clouds
#24:19142,cool,Clouds
#23:19191,cool,Clouds
#22:19541,cool,Clouds
#24:19400,cool,Clouds
#22:19559,cool,Clouds
#29:5376,cool,Clouds
#23:19527,cool,Clouds
#24:19480,cool,Clouds
#22:19616,cool,Clouds
#22:20091,cool,Clouds
#25:20181,cool,Clouds
#23:20561,cool,Clouds
#24:21233,cool,Clouds
#24:21420,cool,Clouds
#25:21378,cool,Clouds
#22:21500,cool,Clouds
#23:21468,cool,Clouds
#24:22042,cool,Clouds
#25:22000,cool,Clouds
#22:22122,cool,Clouds
#23:22476,cool,Clouds
#24:22429,cool,Clouds
#25:22386,cool,Clouds
#24:23017,cool,Clouds
#25:22974,cool,Clouds
#22:23097,cool,Clouds
#25:23618,cool,Clouds
#24:23304,cool,Clouds
#28:6549,cool,Clouds
#25:23261,cool,Clouds
#22:23384,cool,Clouds
#23:23713,cool,Clouds
#23:23712,cool,Clouds
#24:23665,cool,Clouds
#24:23666,cool,Clouds
#24:18196,cool,Clouds
#26:5150,cool,Clouds
#24:18247,cool,Clouds
#22:18474,cool,Clouds
#22:18521,cool,Clouds
#24:18651,cool,Clouds
#24:19263,cool,Clouds
#25:19221,cool,Clouds
#24:19396,cool,Clouds
#28:5388,cool,Clouds
#25:19354,cool,Clouds
#22:19476,cool,Clouds
#23:19444,cool,Clouds
#24:19397,cool,Clouds
#25:19355,cool,Clouds
#23:19445,cool,Clouds
#23:20844,cool,Clouds
#29:5734,cool,Clouds
#24:20781,cool,Clouds
#23:20825,cool,Clouds
#24:20778,cool,Clouds
#25:21113,cool,Clouds
#22:21235,cool,Clouds
#23:21203,cool,Clouds
#24:21156,cool,Clouds
#27:5929,cool,Clouds
#25:21114,cool,Clouds
#29:5855,cool,Clouds
#27:6281,cool,Clouds
#23:22931,cool,Clouds
#23:22653,cool,Clouds
#29:6273,cool,Clouds
#28:6311,cool,Clouds
#22:22686,cool,Clouds
#29:6274,cool,Clouds
#24:24637,cool,Clouds
#26:7002,cool,Clouds
#24:24638,cool,Clouds
#24:24639,cool,Clouds
#29:6885,cool,Clouds
#25:24595,cool,Clouds
#24:22886,cool,Clouds
#28:6404,cool,Clouds
#25:22843,cool,Clouds
#23:24695,cool,Clouds
#24:24646,cool,Clouds
#25:24602,cool,Clouds
#22:24728,cool,Clouds
#24:24647,cool,Clouds
#25:24598,cool,Clouds
#28:6924,cool,Clouds
#22:24724,cool,Clouds
#23:24692,cool,Clouds
#25:24599,cool,Clouds
#23:24699,cool,Clouds
#24:24650,cool,Clouds
#26:7005,cool,Clouds
#25:24606,cool,Clouds
#27:6964,cool,Clouds
#22:24732,cool,Clouds
#24:24652,cool,Clouds
#26:7006,cool,Clouds
#22:24735,cool,Clouds
#25:25020,cool,Clouds
#23:25115,cool,Clouds
#29:7008,cool,Clouds
#24:25066,cool,Clouds
#24:31317,cool,Clouds
#25:33412,cool,Clouds
#22:34004,cool,Clouds
#25:37999,cool,Clouds
#27:10785,cool,Clouds
#22:38137,cool,Clouds
#23:38369,cool,Clouds
#24:38319,cool,Clouds
#23:38568,cool,Clouds
#29:10859,cool,Clouds
#24:38518,cool,Clouds
#224:35776,cool,Clouds
#227:9965,cool,Clouds
#225:35774,cool,Clouds
#222:35784,cool,Clouds
#224:35932,cool,Clouds
#223:37322,cool,Clouds
#225:38087,cool,Clouds
#22:21370,cool,Clouds
#22:21463,cool,Clouds
#24:22428,cool,Clouds
#22:22614,cool,Clouds
#23:22579,cool,Clouds
#22:22612,cool,Clouds
#26:6367,cool,Clouds
#23:22580,cool,Clouds
#27:6327,cool,Clouds
#27:10410,cool,Clouds
#22:36869,cool,Clouds
#22:36868,cool,Clouds
#26:10456,cool,Clouds
#23:36828,cool,Clouds
#24:36777,cool,Clouds
#29:10328,cool,Clouds
#23:36827,cool,Clouds
#22:36853,cool,Clouds
#28:10365,cool,Clouds
#25:36712,cool,Clouds
#22:31399,cool,Clouds
#24:31316,cool,Clouds
#26:8874,cool,Clouds
#25:31272,cool,Clouds
#23:31365,cool,Clouds
#23:32173,cool,Clouds
#24:36752,cool,Clouds
#22:36842,cool,Clouds
#27:10402,cool,Clouds
#23:36802,cool,Clouds
#25:38254,cool,Clouds
#22:38392,cool,Clouds
#23:38407,cool,Clouds
#24:38357,cool,Clouds
#25:38310,cool,Clouds
#28:10847,cool,Clouds
#23:38408,cool,Clouds
#22:38449,cool,Clouds
#26:10933,cool,Clouds
#25:38307,cool,Clouds
#22:38444,cool,Clouds
#24:38353,cool,Clouds
#223:34112,cool,Clouds
#228:9501,cool,Clouds
#224:34112,cool,Clouds
#223:38800,cool,Clouds
#223:38787,cool,Clouds
#227:10857,cool,Clouds
#224:38782,cool,Clouds
#228:12919,cool,Clouds
#222:46214,cool,Clouds
#223:46209,cool,Clouds
#224:46203,cool,Clouds
#229:12913,cool,Clouds
#225:46193,cool,Clouds
#224:46204,cool,Clouds
#225:46195,cool,Clouds
#222:46221,cool,Clouds
#229:12916,cool,Clouds
#223:46217,cool,Clouds
#222:46223,cool,Clouds
#223:46218,cool,Clouds
#222:46224,cool,Clouds
#227:12933,cool,Clouds
#224:46213,cool,Clouds
#225:46203,cool,Clouds
#222:46225,cool,Clouds
#223:46220,cool,Clouds
#224:46214,cool,Clouds
#229:12917,cool,Clouds
#225:46204,cool,Clouds
#222:46226,cool,Clouds
#223:46221,cool,Clouds
#226:12939,cool,Clouds
#222:46227,cool,Clouds
#224:46217,cool,Clouds
#223:46224,cool,Clouds
#226:12940,cool,Clouds
#224:46218,cool,Clouds
#229:12919,cool,Clouds
#225:46209,cool,Clouds
#223:46226,cool,Clouds
#227:12936,cool,Clouds
#222:46232,cool,Clouds
#224:46222,cool,Clouds
#229:12920,cool,Clouds
#225:46212,cool,Clouds
#222:46235,cool,Clouds
#223:46230,cool,Clouds
#224:46224,cool,Clouds
#224:47286,cool,Clouds
#225:47276,cool,Clouds
#222:47298,cool,Clouds
#227:13225,cool,Clouds
#222:47299,cool,Clouds
#223:47294,cool,Clouds
#224:47288,cool,Clouds
#228:13215,cool,Clouds
#225:47278,cool,Clouds
#222:47300,cool,Clouds
#229:13209,cool,Clouds
#223:47295,cool,Clouds
#224:47813,cool,Clouds
#222:36630,cool,Clouds
#222:36751,cool,Clouds
#223:36746,cool,Clouds
#226:10281,cool,Clouds
#224:36742,cool,Clouds
#24:11941,cool,Clouds
#28:3216,cool,Clouds
#29:3186,cool,Clouds
#22:11996,cool,Clouds
#22:24339,cool,Clouds
#27:6845,cool,Clouds
#23:24307,cool,Clouds
#23:24711,cool,Clouds
#24:24662,cool,Clouds
#24:24738,cool,Clouds
#25:24694,cool,Clouds
#22:24820,cool,Clouds
#23:25087,cool,Clouds
#27:7077,cool,Clouds
#24:25038,cool,Clouds
#22:25119,cool,Clouds
#22:26651,cool,Clouds
#29:7468,cool,Clouds
#23:26619,cool,Clouds
#22:13813,cool,Clouds
#23:13792,cool,Clouds
#24:13757,cool,Clouds
#24:15111,cool,Clouds
#29:4167,cool,Clouds
#25:15076,cool,Clouds
#26:4265,cool,Clouds
#22:15176,cool,Clouds
#22:15175,cool,Clouds
#28:4200,cool,Clouds
#24:15353,cool,Clouds
#23:15393,cool,Clouds
#25:15317,cool,Clouds
#24:15352,cool,Clouds
#25:15788,cool,Clouds
#27:4457,cool,Clouds
#22:15893,cool,Clouds
#23:15867,cool,Clouds
#28:4425,cool,Clouds
#24:15825,cool,Clouds
#22:15852,cool,Clouds
#24:15824,cool,Clouds
#24:14948,cool,Clouds
#24:15051,cool,Clouds
#28:4181,cool,Clouds
#25:15016,cool,Clouds
#23:15346,cool,Clouds
#27:4380,cool,Clouds
#24:15574,cool,Clouds
#25:15539,cool,Clouds
#22:15640,cool,Clouds
#24:15726,cool,Clouds
#23:15817,cool,Clouds
#26:4476,cool,Clouds
#24:15775,cool,Clouds
#24:16101,cool,Clouds
#25:16065,cool,Clouds
#22:16170,cool,Clouds
#23:16124,cool,Clouds
#23:16249,cool,Clouds
#24:16207,cool,Clouds
#25:16171,cool,Clouds
#25:16170,cool,Clouds
#24:15669,cool,Clouds
#23:15723,cool,Clouds
#24:15681,cool,Clouds
#24:15904,cool,Clouds
#24:15941,cool,Clouds
#22:16902,cool,Clouds
#25:16729,cool,Clouds
#25:17779,cool,Clouds
#22:17901,cool,Clouds
#28:4993,cool,Clouds
#24:17822,cool,Clouds
#25:17849,cool,Clouds
#24:18995,cool,Clouds
#29:5232,cool,Clouds
#25:18953,cool,Clouds
#23:19219,cool,Clouds
#27:5360,cool,Clouds
#25:19130,cool,Clouds
#24:19168,cool,Clouds
#28:5321,cool,Clouds
#25:19126,cool,Clouds
#23:19216,cool,Clouds
#25:19128,cool,Clouds
#22:19300,cool,Clouds
#28:5337,cool,Clouds
#23:19268,cool,Clouds
#25:19179,cool,Clouds
#24:19301,cool,Clouds
#22:19673,cool,Clouds
#23:19641,cool,Clouds
#24:19594,cool,Clouds
#23:28058,cool,Clouds
#26:7972,cool,Clouds
#24:28009,cool,Clouds
#23:28059,cool,Clouds
#23:28561,cool,Clouds
#25:28467,cool,Clouds
#27:8079,cool,Clouds
#22:28594,cool,Clouds
#25:29019,cool,Clouds
#22:29146,cool,Clouds
#24:29062,cool,Clouds
#25:29018,cool,Clouds
#23:29602,cool,Clouds
#27:8331,cool,Clouds
#24:29553,cool,Clouds
#28:8293,cool,Clouds
#25:29509,cool,Clouds
#23:35737,cool,Clouds
#24:35695,cool,Clouds
#24:37874,cool,Clouds
#27:10723,cool,Clouds
#25:37827,cool,Clouds
#22:37965,cool,Clouds
#28:10684,cool,Clouds
#23:37925,cool,Clouds
#23:38251,cool,Clouds
#26:10884,cool,Clouds
#25:38154,cool,Clouds
#23:17864,cool,Clouds
#24:17849,cool,Clouds
#23:17931,cool,Clouds
#22:18106,cool,Clouds
#24:18143,cool,Clouds
#22:18736,cool,Clouds
#22:18737,cool,Clouds
#24:18658,cool,Clouds
#27:5206,cool,Clouds
#22:18897,cool,Clouds
#23:18865,cool,Clouds
#27:5391,cool,Clouds
#25:19228,cool,Clouds
#22:19473,cool,Clouds
#22:19560,cool,Clouds
#24:19712,cool,Clouds
#24:19713,cool,Clouds
#25:19671,cool,Clouds
#22:20001,cool,Clouds
#23:19969,cool,Clouds
#22:20264,cool,Clouds
#23:20232,cool,Clouds
#24:20185,cool,Clouds
#25:20143,cool,Clouds
#24:20187,cool,Clouds
#23:20530,cool,Clouds
#23:21007,cool,Clouds
#24:21062,cool,Clouds
#28:5855,cool,Clouds
#25:21020,cool,Clouds
#29:5818,cool,Clouds
#22:21142,cool,Clouds
#26:5932,cool,Clouds
